contestID,problemID,rating,tags
1038,A,847,['implementation']
1038,B,1103,"['constructive algorithms', 'math']"
1038,C,1311,"['greedy', 'sortings']"
1038,D,1724,"['dp', 'greedy', 'implementation']"
1038,E,2320,"['bitmasks', 'brute force', 'dfs and similar', 'dp', 'graphs']"
1038,F,2877,"['dp', 'strings']"
1039,A,2159,"['constructive algorithms', 'data structures', 'greedy', 'math']"
1039,B,2064,"['binary search', 'probabilities']"
1039,C,2132,"['dfs and similar', 'dsu', 'graphs', 'math']"
1039,D,2706,"['data structures', 'dp', 'trees']"
1039,E,4000,['data structures']
1040,A,1106,['greedy']
1040,B,1342,"['dp', 'greedy', 'math']"
1040,C,2424,[]
1040,D,2126,[]
1040,E,2393,[]
1037,A,1272,"['constructive algorithms', 'greedy', 'math']"
1037,B,1291,['greedy']
1037,C,1309,"['dp', 'greedy', 'strings']"
1037,D,1671,"['dfs and similar', 'graphs', 'shortest paths', 'trees']"
1037,E,2136,['graphs']
1037,F,2420,"['combinatorics', 'data structures', 'math']"
1037,G,3262,['games']
1037,H,3185,"['data structures', 'string suffix structures']"
1028,A,976,['implementation']
1028,B,1295,"['constructive algorithms', 'math']"
1028,C,1741,"['geometry', 'implementation', 'sortings']"
1028,D,2090,"['combinatorics', 'data structures', 'greedy']"
1028,E,2389,['constructive algorithms']
1028,F,2836,['brute force']
1028,G,2950,['dp']
1028,H,2939,['math']
1029,A,1332,"['implementation', 'strings']"
1029,B,1285,"['dp', 'greedy', 'math']"
1029,C,1654,"['greedy', 'math', 'sortings']"
1029,D,2162,"['implementation', 'math']"
1029,E,2227,"['dp', 'greedy']"
1029,F,2131,"['binary search', 'math', 'number theory']"
1025,A,995,"['implementation', 'sortings']"
1025,B,1770,"['brute force', 'greedy', 'number theory']"
1025,C,1668,"['constructive algorithms', 'implementation']"
1025,D,2135,"['brute force', 'dp', 'math', 'number theory', 'trees']"
1025,E,2740,"['constructive algorithms', 'implementation', 'matrices']"
1025,F,2751,['geometry']
1025,G,3534,"['constructive algorithms', 'math']"
1023,A,1513,"['brute force', 'implementation', 'strings']"
1023,B,1211,['math']
1023,C,1304,['greedy']
1023,D,1781,"['constructive algorithms', 'data structures']"
1023,E,2139,"['constructive algorithms', 'matrices']"
1023,F,2675,"['dfs and similar', 'dsu', 'graphs', 'trees']"
1023,G,4000,"['data structures', 'flows', 'trees']"
1019,A,1714,"['brute force', 'greedy']"
1019,B,2034,['binary search']
1019,C,3144,"['constructive algorithms', 'graphs']"
1019,D,2720,"['binary search', 'geometry', 'sortings']"
1019,E,3405,"['data structures', 'divide and conquer', 'trees']"
1020,A,1129,['math']
1020,B,1080,"['brute force', 'dfs and similar', 'graphs']"
1020,C,1828,['greedy']
1020,D,2252,['binary search']
1020,E,4000,['graphs']
1015,A,749,['implementation']
1015,B,1320,['implementation']
1015,C,1178,['sortings']
1015,D,1646,"['constructive algorithms', 'greedy']"
1015,E1,1742,"['brute force', 'dp', 'greedy']"
1015,E2,1950,"['binary search', 'dp', 'greedy']"
1015,F,2548,"['dp', 'strings']"
1012,A,1302,"['brute force', 'implementation', 'math', 'sortings']"
1012,B,1874,"['constructive algorithms', 'dfs and similar', 'dsu', 'graphs', 'matrices']"
1012,C,1890,['dp']
1012,D,2890,"['constructive algorithms', 'strings']"
1012,E,3083,"['dsu', 'math']"
1012,F,4000,"['dp', 'implementation']"
1013,A,862,['math']
1013,B,1362,['greedy']
1013,C,1489,"['implementation', 'math']"
1013,D,1978,['dfs and similar']
1013,E,2034,[]
1013,F,4000,[]
1010,A,1899,"['binary search', 'math']"
1010,B,1827,['binary search']
1010,C,1907,['number theory']
1010,D,1982,"['dfs and similar', 'implementation', 'trees']"
1010,E,2745,['data structures']
1010,F,4000,"['fft', 'graphs', 'trees']"
1011,A,1123,"['greedy', 'implementation', 'sortings']"
1011,B,1262,"['binary search', 'brute force', 'implementation']"
1011,C,1594,"['binary search', 'greedy', 'math']"
1011,D,1819,['binary search']
1011,E,1937,['number theory']
1011,F,2214,"['dfs and similar', 'trees']"
1006,A,716,['implementation']
1006,B,1269,"['greedy', 'implementation', 'sortings']"
1006,C,1289,"['binary search', 'data structures', 'two pointers']"
1006,D,1676,['implementation']
1006,E,1660,"['dfs and similar', 'graphs', 'trees']"
1006,F,2246,"['bitmasks', 'brute force', 'dp', 'meet-in-the-middle']"
1007,A,1206,"['combinatorics', 'data structures', 'math', 'sortings', 'two pointers']"
1007,B,2413,"['bitmasks', 'brute force', 'combinatorics', 'math', 'number theory']"
1007,C,3078,['binary search']
1007,D,3329,"['2-sat', 'data structures', 'trees']"
1007,E,4000,['dp']
1008,A,1015,"['implementation', 'strings']"
1008,B,1138,"['greedy', 'sortings']"
1008,C,1300,"['combinatorics', 'math']"
1008,D,2518,"['math', 'number theory']"
1008,E,4000,['binary search']
1005,A,723,['implementation']
1005,B,1019,"['brute force', 'implementation', 'strings']"
1005,C,1407,"['brute force', 'greedy', 'implementation']"
1005,D,1572,"['dp', 'greedy', 'number theory']"
1005,E1,1864,['sortings']
1005,E2,2528,['sortings']
1005,F,2318,"['brute force', 'dfs and similar', 'graphs', 'shortest paths']"
1004,A,950,['implementation']
1004,B,1324,"['constructive algorithms', 'greedy', 'implementation', 'math']"
1004,C,1374,['implementation']
1004,D,2277,"['brute force', 'constructive algorithms', 'implementation']"
1004,E,2434,"['binary search', 'dp', 'greedy', 'shortest paths', 'trees']"
1004,F,2954,"['bitmasks', 'data structures', 'divide and conquer']"
1003,A,703,['implementation']
1003,B,1342,['constructive algorithms']
1003,C,1346,"['brute force', 'math']"
1003,D,1659,['greedy']
1003,E,2232,"['constructive algorithms', 'graphs']"
1003,F,2439,"['dp', 'hashing', 'strings']"
997,A,1572,"['brute force', 'greedy', 'implementation', 'math']"
997,B,2019,"['brute force', 'combinatorics', 'dp', 'greedy', 'math']"
997,C,2520,"['combinatorics', 'math']"
997,D,2931,"['combinatorics', 'divide and conquer', 'trees']"
997,E,3417,['data structures']
998,A,1092,"['constructive algorithms', 'implementation']"
998,B,1251,"['dp', 'greedy', 'sortings']"
998,C,1531,[]
998,D,1939,"['brute force', 'combinatorics', 'greedy']"
998,E,2706,"['combinatorics', 'math']"
995,A,2148,"['constructive algorithms', 'implementation']"
995,B,1524,"['greedy', 'implementation', 'math']"
995,C,2315,"['brute force', 'data structures', 'geometry', 'greedy', 'math', 'sortings']"
995,D,2503,['math']
995,E,2720,"['divide and conquer', 'graphs', 'meet-in-the-middle', 'number theory']"
995,F,2753,"['combinatorics', 'dp', 'math', 'trees']"
996,A,616,"['dp', 'greedy']"
996,B,1413,"['binary search', 'math']"
996,C,2153,[]
996,D,1436,"['brute force', 'greedy', 'math']"
996,E,2216,"['brute force', 'data structures', 'geometry', 'greedy', 'math', 'sortings']"
996,F,2423,['math']
991,A,1114,['implementation']
991,B,1111,"['greedy', 'sortings']"
991,C,1537,"['binary search', 'implementation']"
991,D,1569,"['dp', 'greedy']"
991,E,1842,"['brute force', 'combinatorics', 'math']"
991,F,3101,"['brute force', 'greedy', 'implementation', 'math']"
999,A,811,"['brute force', 'implementation']"
999,B,1012,['implementation']
999,C,1233,['implementation']
999,D,1968,"['data structures', 'greedy', 'implementation']"
999,E,1875,"['dfs and similar', 'graphs', 'greedy']"
999,F,2180,['dp']
992,A,929,"['implementation', 'sortings']"
992,B,1687,"['math', 'number theory']"
992,C,1695,['math']
992,D,2126,"['brute force', 'implementation', 'math']"
992,E,2626,"['binary search', 'data structures']"
993,A,1825,"['geometry', 'implementation']"
993,B,1972,"['bitmasks', 'brute force']"
993,C,2193,"['bitmasks', 'brute force', 'geometry']"
993,D,2485,"['binary search', 'dp', 'greedy']"
993,E,2290,"['fft', 'math']"
993,F,3403,[]
994,A,729,['implementation']
994,B,1525,"['greedy', 'implementation', 'sortings']"
994,C,1736,['brute force']
994,D,1981,['bitmasks']
994,E,2293,"['bitmasks', 'brute force', 'data structures']"
994,F,2777,"['binary search', 'dp']"
989,A,1079,"['implementation', 'strings']"
989,B,1464,"['constructive algorithms', 'strings']"
989,C,1783,"['constructive algorithms', 'graphs']"
989,D,2444,"['binary search', 'geometry', 'math', 'sortings', 'two pointers']"
989,E,4000,"['dp', 'geometry', 'matrices', 'probabilities']"
988,A,865,"['brute force', 'implementation']"
988,B,1216,"['sortings', 'strings']"
988,C,1502,"['implementation', 'sortings']"
988,D,1831,"['brute force', 'math']"
988,E,2101,"['brute force', 'greedy']"
988,F,2301,['dp']
986,A,1485,"['graphs', 'greedy', 'number theory', 'shortest paths']"
986,B,1822,"['combinatorics', 'math']"
